danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,popularity,artists,album-name,release-date,name,lyrics,perplexity,nll,vader_sentiment,song_length,genre,topic_modelling
0.441,0.11,1,-12.508,1,0.039,0.824,0,0.0981,0.261,120.205,audio_features,4Eq0F51L7foy3hFvz0zQNp,spotify:track:4Eq0F51L7foy3hFvz0zQNp,https://api.spotify.com/v1/tracks/4Eq0F51L7foy3hFvz0zQNp,https://api.spotify.com/v1/audio-analysis/4Eq0F51L7foy3hFvz0zQNp,265187,4,22,Parker Millsap,The Very Last Day,3/25/16,A Little Fire," Some days I feel trappedIn these walls of woodPaint, plaster, and lathHow I wish I couldFind myself a matchWouldn’t it feel goodTo leave a pile of ashWhere these walls stood?High tide, tempest-tossedMaybe we might drownBabe, it wouldn’t costMuch to leave this townGo get ourselves lostLeave nothing to be foundBut burnt exhaustAnd rubber on the ground We could turn this house into a pyreA funeral for all our old desiresA little sparkThe engine startsThe spinning of the tiresMaybe we just need a little fire",78.10281372,21.61581158,-0.9264,1035,Rock,1
0.505,0.522,9,-7.586,1,0.39,0.691,2.78E-06,0.111,0.381,172.059,audio_features,2yPqhfL7EeQlEdz7rAQfU9,spotify:track:2yPqhfL7EeQlEdz7rAQfU9,https://api.spotify.com/v1/tracks/2yPqhfL7EeQlEdz7rAQfU9,https://api.spotify.com/v1/audio-analysis/2yPqhfL7EeQlEdz7rAQfU9,196893,4,0,Tom Walker,Just You and I,2016,Just You and I," Let's get drunkI'll pour my heart out through my mouthThis year's been hard for us, no doubtLet's raise a glass to a better oneLet all the things that we've overcomeBring hope to us 'causeMe and you, we can hold this outOnly you understand how I'm feeling now, yeah And I know I can tell you anythingYou won't judge, you're just listening, yeah'Cause you're the best thing that ever happened to me 'Cause my darling, you and ICould take over the worldOne step at a timeJust you and I  'Cause you're the only oneWho brings light just like the sunOne step at a timeJust you and I   Let's get drunkReminisce about the daysWe were broke, not getting paidAnd taking trips on the weekendWhen I would drive down to see yaAnd we would paint the townToo many shots, I'll be passing out'Cause I can never keep upQuad vods, now I'm puking up",32.48028183,17.32029357,0.9878,1972,Folk,2
0.676,0.2,9,-17.735,0,0.0282,0.826,0.0289,0.144,0.176,104.016,audio_features,6qlfzOpeLcdoSxrgbkR0Zi,spotify:track:6qlfzOpeLcdoSxrgbkR0Zi,https://api.spotify.com/v1/tracks/6qlfzOpeLcdoSxrgbkR0Zi,https://api.spotify.com/v1/audio-analysis/6qlfzOpeLcdoSxrgbkR0Zi,262640,4,0,The xx,xx,8/16/09,Stars," I can give it all on the first dateI don't have to exist outside this placeAnd dear know that I can change But if stars, shouldn't shineBy the very first timeThen dear it's fine, so fine by me'Cos we can give it timeSo much timeWith me And I can draw the line on the first dateI'll let you cross itLet you take every line I've gotWhen the time gets late But if stars, shouldn't shineBy the very first timeThen dear it's fine, so fine by me'Cos we can give it timeSo much timeWith me",27.9421978,16.25107384,0.9828,1328,Hip hop,4
0.588,0.848,0,-5.223,1,0.0295,0.0377,0,0.0765,0.689,131.996,audio_features,2uC75VcmlLierLxilp87yT,spotify:track:2uC75VcmlLierLxilp87yT,https://api.spotify.com/v1/tracks/2uC75VcmlLierLxilp87yT,https://api.spotify.com/v1/audio-analysis/2uC75VcmlLierLxilp87yT,225200,4,34,Picture This,Picture This,8/25/17,Saviour,We had to get lostTo find each other againSo we could be the ones in the endWho made it out for realIn a different placeI love the way that you didn't changeWe grew up but we stayed the sameJust how we wanted toAnd did you ever look for me?Did you ever wanna run?Did you ever wanna just be free?'Cause the world couldn't keep us apartAnd it didn’t turn in our favourBut you have a hold on my heartAnd I'm gonna be your saviourNo the world couldn't keep us apartAnd it didn’t turn in our favourBut you have a hold on my heartAnd I'm gonna be your saviourWhat will we talk about?I don't know what to sayI wrote a thousand letters to youAnd threw them all away,14.85195541,13.17323074,0.9813,1700,Rap,0
0.542,0.346,9,-6.598,1,0.0296,0.342,0,0.283,0.173,139.856,audio_features,2qdVHdkLxKntNjPh3Ssz7s,spotify:track:2qdVHdkLxKntNjPh3Ssz7s,https://api.spotify.com/v1/tracks/2qdVHdkLxKntNjPh3Ssz7s,https://api.spotify.com/v1/audio-analysis/2qdVHdkLxKntNjPh3Ssz7s,217807,4,57,The Chicks,Wide Open Spaces,1/27/98,You Were Mine," I can't find a reason to let goEven though you've found a new loveAnd she's what your dreams are made ofI can find a reason to hang onWhat went wrong can be forgivenWithout you it ain't worth livin' alone Sometimes I wake up cryin' at nightAnd sometimes I scream out your nameWhat right does she have to take you awayWhen for so long you were mine? I took out all the pictures of our wedding dayIt was a time of love and laughter, happy ever afterBut even those old pictures have begun to fadePlease tell me she's not real and that you're really comin' home to stay Sometimes I wake up cryin' at nightAnd sometimes I scream out your nameWhat right does she have to take your heart awayWhen for so long you were mine?",15.89916897,13.50589109,0.9508,1173,Country,4
0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051,audio_features,7ueP5u2qkdZbIPN2YA6LR0,spotify:track:7ueP5u2qkdZbIPN2YA6LR0,https://api.spotify.com/v1/tracks/7ueP5u2qkdZbIPN2YA6LR0,https://api.spotify.com/v1/audio-analysis/7ueP5u2qkdZbIPN2YA6LR0,259093,4,75,AWOLNATION,Megalithic Symphony,3/15/11,Sail," Sail This is how I show my loveI made it in my mind becauseI blame it on my ADD, babyThis is how an angel diesI blame it on my own sick prideBlame it on my ADD, baby SailSailSailSailSail Maybe I should cry for helpMaybe I should kill myselfBlame it on my ADD, babyMaybe I'm a different breedMaybe I'm not listeningSo blame it on my ADD, baby",21.76533699,14.91522701,-0.9153,718,Rock,3
0.567,0.625,2,-3.57,1,0.0593,0.0478,0,0.0692,0.427,140.082,audio_features,1dwNoMKHyxAVP1zRdPxOEm,spotify:track:1dwNoMKHyxAVP1zRdPxOEm,https://api.spotify.com/v1/tracks/1dwNoMKHyxAVP1zRdPxOEm,https://api.spotify.com/v1/audio-analysis/1dwNoMKHyxAVP1zRdPxOEm,178003,3,0,Judah Kelly,Count On Me,7/2/17,Count On Me," Lately I ain't been the same manYou knew me to beKnew me to beI've been so caught up, so thoughtlessYou know that ain't meKnow that ain't me But even in my darkest hourYeah you were a light I could seeBut all of us fallYou know when you callYeah you can count on me When the roof falls inWhen the windows breakIt's all you can takeYeah you can count on meWhen you come undoneWhen it all goes wrongAnd you need someoneYeah you can count on me I know some morningsIt's hard just to roll out of bedRoll out of bedI know I've been thereHow crazy and cold life can getCold life can get",26.45726013,16.26470407,0.966,1554,Other,2
0.443,0.843,6,-4.314,0,0.0509,0.304,1.13E-06,0.169,0.554,181.936,audio_features,6kTpcbbuEpgABfbE3H18gq,spotify:track:6kTpcbbuEpgABfbE3H18gq,https://api.spotify.com/v1/tracks/6kTpcbbuEpgABfbE3H18gq,https://api.spotify.com/v1/audio-analysis/6kTpcbbuEpgABfbE3H18gq,260453,4,0,Chris Lane,Girl Problems,8/5/16,Let Me Love You," Baby, I just don't get itDo you enjoy being hurt?I know you smelled the perfumeThe make-up on his shirtYou don't believe his storiesYou know that they're all liesBad as you are, you stick aroundAnd I just don't know why If I was ya' man, baby, you'd...You'd never worry 'bout what I doI'd be comin' home, back to you, every night, doin' you rightYou're the type of woman, deserves good thingsFistful of diamonds, a hand full of ringsBaby, you're a star, I just wanna show you you are You should let me love youLet me be the one toGive you everything you want and needBaby, good love and protectionMake me your selectionShow you how true love's supposed to beBaby, you should let me love youLove you, love you, love youYeah, listen",25.69740677,16.14652056,0.9994,2516,Country,4
0.503,0.47,0,-8.006,1,0.0257,0.291,0,0.396,0.334,108.486,audio_features,6Nq8YtPAHuL1outooeiFde,spotify:track:6Nq8YtPAHuL1outooeiFde,https://api.spotify.com/v1/tracks/6Nq8YtPAHuL1outooeiFde,https://api.spotify.com/v1/audio-analysis/6Nq8YtPAHuL1outooeiFde,241373,4,61,Air Supply,Ultimate Air Supply,5/29/03,All Out of Love," I'm lyin' alone with my head on the phoneThinkin' of you till it hurtsI know you're hurt too, butWhat else can we doTormented and torn apartI wish I could carry your smile in my heartFor times when my life seems so lowIt would make me believe what tomorrow could bringWhen today doesn't really knowDoesn't really know I'm all out of loveI'm so lost without youI know you were rightBelieving for so longI'm all out of loveWhat am I without you?I can't be too lateTo say that I was so wrong I want you to come back and carry me homeAway from these long, lonely nightsI'm reaching for you, are you feeling it tooDoes the feeling seem oh so rightAnd what would you say if I called on you nowAnd said that I can't hold onThere's no easy way, it gets harder each dayPlease love me or I'll be goneI'll be gone",26.74298096,16.11074851,0.9803,1824,Rock,4
0.668,0.465,11,-12.916,1,0.0568,0.0404,0.0544,0.396,0.323,118.008,audio_features,2UwKFhUl5fFw3WrT5H0wNP,spotify:track:2UwKFhUl5fFw3WrT5H0wNP,https://api.spotify.com/v1/tracks/2UwKFhUl5fFw3WrT5H0wNP,https://api.spotify.com/v1/audio-analysis/2UwKFhUl5fFw3WrT5H0wNP,222839,4,46,Gnarly Gibbs,I Need My Girl,12/22/16,I Need My Girl,"I am good, I am groundedDavy says that I look tallerI can't get my head around itI keep feeling smaller and smallerI need my girlI need my girlI need my girlI need my girlI'm under the gun againI know I was a 45 percenter thenI know I was a lot of thingsBut I am good, I am groundedDavy says that I look tallerI can't get my head around itI keep feeling smaller and smallerI need my girlI need my girlThere's some things that I should neverLaugh about in front of familyI'll try to call you from the partyIt's full of punks and cannoballers",14.436656,13.25350259,0.3948,684,Other,3
